Product_ID,Product_Name,Category,Price,Brand
101,T-shirt,Clothing,27.22,Brand C
102,Jeans,Clothing,27.0,Brand D
103,Sweater,Clothing,86.5,Brand C
104,Shirt,Clothing,62.17,Brand E
105,Sneakers,Footwear,117.55,Brand E
106,Boots,Footwear,36.12,Brand E
107,Sandals,Footwear,65.48,Brand B
108,Jacket,Outerwear,198.13,Brand D
109,Coat,Outerwear,142.86,Brand C
110,Raincoat,Outerwear,119.39,Brand C
111,Hat,Accessories,47.05,Brand A
112,Belt,Accessories,30.01,Brand A
113,Scarf,Accessories,10.61,Brand E
114,Bag,Accessories,55.96,Brand C
115,Headphones,Electronics,130.0,Brand E
116,Smartwatch,Electronics,240.91,Brand F
117,Speaker,Electronics,132.01,Brand B
118,Charger,Electronics,129.71,Brand A
